       Start Station Id  End Station Id  Count
2339               7030          7502.0      6
21618              7681          7065.0      6
6016               7099          7033.0      6
12810              7269          7260.0      6
15495              7361          7362.0      6
11874              7252          7239.0      6
2376               7031          7024.0      6
20488              7575          7384.0      6
12818              7269          7299.0      6
12034              7256          7046.0      6
20486              7575          7356.0      6
6414               7104          7015.0      6
17480              7441          7414.0      6
5309               7077          7006.0      6
15517              7362          7361.0      6
16388              7391          7389.0      6
24256              7810          7061.0      6
5540               7079          7007.0      6
7242               7121          7033.0      6
5440               7078          7089.0      6
6639               7108          7703.0      6
2267               7030          7042.0      6
1767               7025          7025.0      6
21832              7685          7358.0      6
5876               7093          7349.0      6
6590               7108          7074.0      6
12018              7253          7794.0      6
13504              7283          7045.0      6
20558              7577          7114.0      6
16402              7391          7505.0      6
1802               7025          7160.0      6
13529              7283          7505.0      6
2290               7030          7130.0      6
1747               7024          7577.0      6
16543              7399          7203.0      6
1138               7017          7033.0      6
11959              7253          7216.0      6
5418               7078          7012.0      6
16548              7399          7259.0      6
5415               7078          7006.0      6
12555              7263          7280.0      6
20638              7586          7872.0      6
17047              7418          7285.0      6
12519              7263          7100.0      6
13347              7280          7047.0      6
12355              7260          7321.0      6
2564               7033          7077.0      6
12345              7260          7269.0      6
11712              7248          7474.0      6
15196              7346          7796.0      6
11706              7248          7418.0      6
21688              7682          7216.0      6
2200               7029          7276.0      6
6136               7100          7269.0      6
1481               7022          7020.0      6
21703              7682          7324.0      6
12390              7260          7770.0      6
1978               7027          7199.0      6
13055              7272          7276.0      6
20212              7551          7236.0      6
12251              7259          7242.0      6
128                7001          7164.0      6
22033              7693          7041.0      6
12968              7271          7311.0      6
21692              7682          7245.0      6
1083               7016          7261.0      6
1573               7022          7467.0      6
24698              7850          7015.0      6
6364               7103          7045.0      6
5095               7074          7009.0      6
24429              7817          7123.0      6
3                  7000          7018.0      6
6328               7102          7462.0      6
17102              7418          7724.0      6
16668              7409          7264.0      6
13649              7285          7199.0      6
12952              7271          7248.0      6
12141              7257          7045.0      6
7614               7129          7126.0      6
5760               7089          7281.0      6
12411              7261          7076.0      6
1210               7018          7000.0      6
13167              7274          7078.0      6
1795               7025          7126.0      5
18368              7474          7260.0      5
24131              7796          7342.0      5
16509              7399          7016.0      5
17144              7422          7223.0      5
12415              7261          7101.0      5
12506              7263          7044.0      5
23151              7745          7130.0      5
10385              7208          7153.0      5
17066              7418          7391.0      5
3438               7044          7045.0      5
3485               7044          7311.0      5
1943               7027          7038.0      5
10300              7207          7160.0      5
10491              7211          7005.0      5
16018              7384          7012.0      5
12400              7261          7015.0      5
16465              7398          7253.0      5
12560              7263          7320.0      5
14016              7298          7037.0      5
12615              7264          7034.0      5
16290              7389          7391.0      5
3541               7045          7045.0      5
3866               7048          7099.0      5
9952               7202          7069.0      5
24331              7816          7006.0      5
1572               7022          7462.0      5
9874               7199          7246.0      5
16781              7412          7015.0      5
24338              7816          7033.0      5
1554               7022          7321.0      5
9865               7199          7204.0      5
9854               7199          7174.0      5
9845               7199          7150.0      5
1504               7022          7076.0      5
22891              7720          7324.0      5
23001              7721          7467.0      5
22889              7720          7321.0      5
18906              7505          7493.0      5
14258              7311          7034.0      5
631                7007          7810.0      5
13052              7272          7269.0      5
13053              7272          7271.0      5
18931              7506          7047.0      5
16671              7409          7271.0      5
22857              7720          7123.0      5
9669               7193          7451.0      5
22844              7720          7049.0      5
1582               7022          7533.0      5
18734              7496          7802.0      5
3550               7045          7100.0      5
1985               7027          7239.0      5
12630              7264          7126.0      5
23068              7724          7418.0      5
10135              7204          7473.0      5
3614               7045          7489.0      5
1752               7024          7702.0      5
10121              7204          7245.0      5
1718               7024          7264.0      5
24244              7810          7006.0      5
3660               7046          7049.0      5
1689               7024          7031.0      5
10046              7203          7260.0      5
3672               7046          7160.0      5
9980               7202          7256.0      5
3681               7046          7260.0      5
12785              7269          7054.0      5
24282              7810          7389.0      5
12789              7269          7076.0      5
3685               7046          7298.0      5
16836              7415          7178.0      5
10029              7203          7073.0      5
23018              7721          7720.0      5
16586              7399          7660.0      5
9997               7202          7542.0      5
9987               7202          7324.0      5
1983               7027          7217.0      5
3286               7042          7114.0      5
24059              7795          7126.0      5
2975               7038          7248.0      5
23599              7770          7160.0      5
13715              7285          7899.0      5
13718              7286          7006.0      5
2764               7035          7079.0      5
11362              7243          7072.0      5
23576              7770          7038.0      5
17528              7443          7542.0      5
23575              7770          7033.0      5
17817              7457          7418.0      5
11288              7240          7184.0      5
17501              7443          7052.0      5
16324              7391          7009.0      5
947                7014          7542.0      5
2833               7037          7027.0      5
11796              7250          7191.0      5
2412               7031          7264.0      5
11192              7239          7151.0      5
23805              7787          7076.0      5
11856              7252          7143.0      5
11879              7252          7252.0      5
23836              7788          7076.0      5
11908              7252          7766.0      5
11927              7253          7033.0      5
17962              7462          7055.0      5
11073              7236          7015.0      5
2962               7038          7163.0      5
11932              7253          7047.0      5
16261              7389          7248.0      5
11406              7245          7033.0      5
2737               7034          7452.0      5
11646              7248          7102.0      5
17625              7451          7148.0      5
1035               7015          7721.0      5
2613               7033          7324.0      5
2617               7033          7356.0      5
2618               7033          7366.0      5
17656              7452          7079.0      5
23669              7771          7104.0      5
1015               7015          7453.0      5
2555               7033          7054.0      5
11611              7248          7006.0      5
11499              7246          7041.0      5
2525               7033          7006.0      5
16310              7389          7713.0      5
17721              7453          7001.0      5
1064               7016          7104.0      5
11489              7246          7007.0      5
13615              7285          7030.0      5
11684              7248          7271.0      5
11702              7248          7389.0      5
16317              7389          7810.0      5
1075               7016          7203.0      5
2674               7034          7002.0      5
2693               7034          7089.0      5
11720              7248          7545.0      5
2458               7032          7061.0      5
17529              7443          7570.0      5
2323               7030          7285.0      5
2981               7038          7267.0      5
12330              7260          7203.0      5
13841              7291          7077.0      5
3196               7041          7246.0      5
3228               7041          7542.0      5
2201               7029          7281.0      5
13453              7281          7263.0      5
1187               7017          7474.0      5
23276              7760          7556.0      5
